"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HRZManta/726911277379431_849502303883120/726911277379431_849502303883120";"1176";"963";"2";"726911277379431_849502303883120";"empty";"";"fetched (200)";"2024-06-08 21:23:50.559274";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_849502303883120/726911277379431_849502303883120";"1177";"963";"2";"726911277379431_849502303883120";"offcut";"";"fetched (200)";"2024-06-08 21:23:50.559274";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_846150110885006";"964";"869";"1";"726911277379431_846150110885006";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"Con el objetivo de acercar la gestión hospitalaria a nuestros usuarios, pacientes y personal, nuestros directivos liderados por el doctor Hayro Daza Vera y el doctor Fernando Medranda junto al equipo técnico, realizaron una visita minuciosa en cada área donde se desarrolla la atención de salud.   “Estas actividades son una constante en nuestra administración y nos permiten mejorar cada día, para ofrecer servicios integrales a nuestros pacientes” manifestó nuestro Gerente hospitalario.   #ElNuevoEcuador  #HRZMejorPorTi   Coordinación Zonal 4 - Salud";"2024-04-24T17:42:08+0000";"";"";""
"HRZManta/726911277379431_846150110885006/726911277379431_846150110885006";"1178";"964";"2";"726911277379431_846150110885006";"empty";"";"fetched (200)";"2024-06-08 21:23:50.890190";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_846150110885006/726911277379431_846150110885006";"1179";"964";"2";"726911277379431_846150110885006";"offcut";"";"fetched (200)";"2024-06-08 21:23:50.890190";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_846035484229802";"965";"869";"1";"726911277379431_846035484229802";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-04-24T13:58:02+0000";"";"";""
"HRZManta/726911277379431_846035484229802/726911277379431_846035484229802";"1180";"965";"2";"726911277379431_846035484229802";"empty";"";"fetched (200)";"2024-06-08 21:23:51.271327";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_846035484229802/726911277379431_846035484229802";"1181";"965";"2";"726911277379431_846035484229802";"offcut";"";"fetched (200)";"2024-06-08 21:23:51.271327";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_845566750943342";"966";"869";"1";"726911277379431_845566750943342";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-04-23T20:13:18+0000";"";"";""
"HRZManta/726911277379431_845566750943342/726911277379431_845566750943342";"1182";"966";"2";"726911277379431_845566750943342";"empty";"";"fetched (200)";"2024-06-08 21:23:51.628079";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_845566750943342/726911277379431_845566750943342";"1183";"966";"2";"726911277379431_845566750943342";"offcut";"";"fetched (200)";"2024-06-08 21:23:51.628079";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_842798374553513";"967";"869";"1";"726911277379431_842798374553513";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"En el marco de la conmemoración del Día del Tecnólogo Médico, nuestros directivos liderados por el doctor Hayro Daza Vera, realizaron un acto de reconocimiento a este grupo de profesionales, que en nuestro servicio hospitalario, se encuentran en las áreas de Laboratorio Clínico, Imagenología, Rehabilitación Física, Patología y Hemoteca.   “Nos sentimos gustosos de reconocer su importante trabajo y el aporte significativo para la atención y recuperación de nuestros pacientes” mencionó el gerente hospitalario en su intervención.   #ElNuevoEcuador  #HRZMejorPorTi";"2024-04-19T13:35:59+0000";"";"";""
"HRZManta/726911277379431_842798374553513/726911277379431_842798374553513";"1184";"967";"2";"726911277379431_842798374553513";"data";"data.*";"fetched (200)";"2024-06-08 21:23:51.989016";"Facebook:/<post-id>/comments";"Felicidades merecido reconocimiento";"2024-04-19T14:56:31+0000";"0";"0";""
"HRZManta/726911277379431_842798374553513/726911277379431_842798374553513";"1185";"967";"2";"726911277379431_842798374553513";"offcut";"";"fetched (200)";"2024-06-08 21:23:51.989016";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_841832144650136";"968";"869";"1";"726911277379431_841832144650136";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-04-17T22:32:44+0000";"";"";""
"HRZManta/726911277379431_841832144650136/726911277379431_841832144650136";"1186";"968";"2";"726911277379431_841832144650136";"data";"data.*";"fetched (200)";"2024-06-08 21:23:52.337540";"Facebook:/<post-id>/comments";"Por favor me pueden ayudar un familiar tiene cita hoy pero no sabe como reagendar o si puede acercarse directamente al hospital";"2024-04-18T13:06:22+0000";"0";"0";""
"HRZManta/726911277379431_841832144650136/726911277379431_841832144650136";"1187";"968";"2";"726911277379431_841832144650136";"offcut";"";"fetched (200)";"2024-06-08 21:23:52.337540";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_841773747989309";"969";"869";"1";"726911277379431_841773747989309";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-04-17T19:42:32+0000";"";"";""
"HRZManta/726911277379431_841773747989309/726911277379431_841773747989309";"1188";"969";"2";"726911277379431_841773747989309";"empty";"";"fetched (200)";"2024-06-08 21:23:52.722597";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_841773747989309/726911277379431_841773747989309";"1189";"969";"2";"726911277379431_841773747989309";"offcut";"";"fetched (200)";"2024-06-08 21:23:52.722597";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/HRZManta";"970";"869";"1";"HRZManta";"offcut";"";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"";"";"";""
